arm,backtracking_ratio,barrier_violation_m,catastrophic_failure,curvature_energy,dataset,episode_id,excess_length_m,failure_score,hard_hazard_length_m,hard_hits,low_margin_length_m,max_risk,max_violation_severity_m,mean_rho,mean_safety_margin_m,min_hard_distance_m,oscillation,path_cvar_risk,path_length_m,path_length_ratio,regime,revisit_count,risk_exposure,soft_risk_violation_length_m,success
zero,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
learned,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
fixed,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
zero,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
learned,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
fixed,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
zero,0.0,0.0,0.0,0.49849118207517407,RELLIS-3D,00003_001631_04,-3.6623826933765002,18.72495087086625,0.0,0.0,0.0,0.550000011920929,0.0,0.454546609631136,9.097867082795837,2.5495097637176514,1.4032489527862615,0.550000011920929,39.651217306623465,0.9154449712474487,R1,0.0,18.02332639447312,39.651217306623465,1.0
learned,0.0,0.0,0.0,0.4984805062583774,RELLIS-3D,00003_001631_04,-3.6624007698572285,18.72493894193088,0.0,0.0,0.0,0.550000011920929,0.0,0.4545469972965588,9.097866880050105,2.5495097637176514,1.4032107853237528,0.550000011920929,39.65119923014274,0.9154445539078435,R1,0.0,18.023333549269005,39.65119923014274,1.0
fixed,0.0,0.0,0.0,0.4983779099184285,RELLIS-3D,00003_001631_04,-3.66257251143044,18.724826399050087,0.0,0.0,0.0,0.550000011920929,0.0,0.45455061949229025,9.097861622948226,2.5495097637176514,1.4028545812299593,0.5500000119209291,39.651027488569525,0.9154405888351362,R1,0.0,18.023399108435108,39.651027488569525,1.0
zero,0.0,0.0,0.0,0.46566219521579416,RELLIS-3D,00003_001631_05,-2.6049043527260594,20.66406778641627,0.0,0.0,3.0702387810686997,0.6328809857368469,0.0,0.5088461295580168,5.818912225904225,0.5,1.338431526733209,0.6147602821349882,39.294495647273905,0.937829554773432,R1,0.0,19.994852023049663,39.294495647273905,1.0
learned,0.0,0.0,0.0,0.4656599657338095,RELLIS-3D,00003_001631_05,-2.604906097080736,20.664069752597626,0.0,0.0,3.0702387810686997,0.6328809857368469,0.0,0.5088462030665413,5.8189127566597225,0.5,1.3384314573516374,0.6147602850094107,39.29449390291923,0.9378295131414593,R1,0.0,19.994854023921807,39.29449390291923,1.0
fixed,0.0,0.0,0.0,0.46563975426300946,RELLIS-3D,00003_001631_05,-2.6049220938761266,20.664088963385105,0.0,0.0,3.0702387810686997,0.6328809857368469,0.0,0.508846956304709,5.818918524604499,0.5,1.338426962542709,0.6147603113696274,39.29447790612384,0.9378291313508993,R1,0.0,19.99487548211375,39.29447790612384,1.0
zero,0.0,0.0,0.0,0.21793343760413147,RELLIS-3D,00003_001631_06,-2.4918512588424413,13.934393730076911,0.0,0.0,0.0,0.550000011920929,0.0,0.4377299758541192,8.203479587931772,6.5,0.8855807956565727,0.550000011920929,30.821748741157553,0.9252001807417258,R1,0.0,13.491603332248625,30.821748741157553,1.0
learned,0.0,0.0,0.0,0.2179090728525142,RELLIS-3D,00003_001631_06,-2.4918975875257736,13.93437523714413,0.0,0.0,0.0,0.550000011920929,0.0,0.43773016373744345,8.20348058326242,6.5,0.8855727869300669,0.550000011920929,30.82170241247422,0.925198790057941,R1,0.0,13.491588843679096,30.82170241247422,1.0
fixed,0.0,0.0,0.0,0.21766925850216545,RELLIS-3D,00003_001631_06,-2.4923459207670575,13.934196738500848,0.0,0.0,0.0,0.550000011920929,0.0,0.4377320228837964,8.203491140156858,6.5,0.885493685165505,0.550000011920929,30.821254079232936,0.9251853320935877,R1,0.0,13.491449895918096,30.821254079232936,1.0
zero,0.0,0.0,0.0,0.5227133908532062,RELLIS-3D,00003_001631_07,-3.270641225866669,14.645095240256365,0.0,0.0,0.0,0.550000011920929,0.0,0.4408401239158845,7.993592273115381,6.363961219787598,1.3411393083275698,0.550000011920929,31.699758774133322,0.9064740115678783,R1,0.0,13.97452558609258,31.699758774133322,1.0
learned,0.0,0.0,0.0,0.522679692713348,RELLIS-3D,00003_001631_07,-3.270689417814893,14.645065154186241,0.0,0.0,0.0,0.550000011920929,0.0,0.4408403047073999,7.993593201342603,6.363961219787598,1.3411101639987504,0.550000011920929,31.699710582185098,0.9064726334896114,R1,0.0,13.974510072186867,31.699710582185098,1.0
